period,hcr_type,strategy,change_par,change_type,direction,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,255,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.9851341054817477,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3250,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.9656090991705352,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2521.596460996616,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.9879065875139469,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,1,1000,-90
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-90
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,19.607843137254903,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,4.998999899979995,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,187.5,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,4.039801975344831,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,112.59667415594336,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,4.039945045554539,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,1,1000,-90
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-90
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,324.97366408966417,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.5576503613208582,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,4109.032358040119,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.5503812251079075,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2935.08559432316,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.7100153037980955,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
